"benchmark","version","application","file","line","function"
"mediabench","default","h264dec-lencod","image.c","2255","PaddAutoCropBorders"
"Kernels","SERIAL","Branch","func.c","2432","func1"
"Kernels","SERIAL","Amr","amr.c","309","main"
"libraries","default","daala","dct.c","8865","check_transform"
"GitApps","default","gap","vecffe.c","251","SumVecFFEVecFFE"
"mediabench","default","h264enc-lencod","mv-search.c","760","Init_Motion_Search_Module"
"NPB","2.3-OpenACC-C","UA-SNU","utils.c","278","facev"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","515","transfb_cor_e"
"spec2000","v1.3","164.gzip","inflate.c","325","huft_build"
"spec2000","v1.3","186.crafty","init.c","995","InitializePawnMasks"
"spec2000","v1.3","301.apsi","apsi.c","9660","radf4"
"mediabench","default","h264dec-lencod","refbuf.c","69","UMVLine16Y_11"
"Kernels","SERIAL","Branch","func.c","19484","func31"
"NPB","2.3-OpenACC-C","LU","lu.c","193","blts"
"spec2000","v1.3","186.crafty","repeat.c","54","RepetitionCheck"
"libraries","default","silk","SKP_Silk_NLSF2A.c","120","SKP_Silk_NLSF2A"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","144","adaptation"
"ALPBench","v1.0","MPGenc","motion.c","2530","variance"
"libraries","default","libsndfile","ima_adpcm.c","498","wavlike_ima_encode_block"
"libraries","default","silk","SKP_Silk_PLC.c","270","SKP_Silk_PLC_conceal"
"polybench","4.1","linear-algebra-kernels-3mm","3mm.c","43","init_array"
"spec2006","v1.1","445.gobmk","board.c","2741","new_position"
"spec2006","v1.1","401.bzip2","compress.c","207","generateMTFValues"
"mediabench","default","mpeg4enc","dsputil.c","3156","ff_block_permute"
"netlib","default","jacobi","jacobi_eigenvalue.c","505","r8mat_norm_fro"
"spec2000","v1.3","254.gap","permutat.c","323","ProdPP"
"TSVC","default","default","tsc.c","1004","s115"
"NPB","2.3-OpenACC-C","EP","ep.c","122","main"
"libraries","default","flac","window.c","229","FLAC_window_partial_tukey"
"NPB","2.3-OpenACC-C","UA-SNU","convect.c","77","convect"
"mediabench","default","mpeg4enc","dsputil.c","333","w_c"
"spec2000","v1.3","254.gap","integer.c","2004","GcdInt"
"spec2000","v1.3","300.twolf","qsortgdx.c","39","qsortgdx"
"cortexsuite","default","sphinx","fe_sigproc.c","811","fe_fft_real"
"NPB","2.3-OpenACC-C","BT","bt.c","420","exact_rhs"
"GitApps","default","gap","gap.c","2847","FuncKERNEL_INFO"
"spec2006","v1.1","400.perlbench","pp_pack.c","1157","S_unpack_rec"
"FreeBench","default","fourinarow","fourinarow.c","241","find_winner_p"
"TSVC","default","default","tsc.c","1342","s126"
"mediabench","default","h264dec-lencod","nal.c","103","RBSPtoEBSP"
"GitApps","default","gap","opers.c","622","FuncSUB_FLAGS"
"spec2006","v1.1","445.gobmk","worm.c","671","do_compute_effective_worm_sizes"
"spec2006","v1.1","456.hmmer","alphabet.c","131","SetAlphabet"
"spec2006","v1.1","401.bzip2","blocksort.c","301","fallbackSort"
"FreeBench","default","pcompress2","arithmetic.c","192","start_model"
"mediabench","default","mpeg2enc","motion.c","1360","dist1"
"mediabench","default","h264enc-ldecod","macroblock.c","3276","readCBPandCoeffsFromNAL"
"spec2000","v1.3","300.twolf","readblck.c","65","readblck"
"Kernels","SERIAL","Branch","func.c","22730","func33"
"mediabench","default","cjpeg","jidctint.c","277","jpeg_idct_islow"
"Kernels","SERIAL","Stencil","stencil.c","170","main"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuSubspaceProject.c","353","distanceMahCosine"
"NPB","2.3-OpenACC-C","UA-SNU","convect.c","151","convect"
"mediabench","default","rasta","fft.c","105","fft_pow"
"spec2000","v1.3","186.crafty","validate.c","438","ValidatePosition"
"NPB","2.3-OpenACC-C","UA-SNU","utils.c","132","adds1m1"
"mediabench","default","h264dec-lencod","leaky_bucket.c","246","calc_buffer"
"libraries","default","lame","quantize_pvt.c","654","calc_xmin"
"spec2000","v1.3","300.twolf","qsortg.c","60","qsortg"
"GitApps","default","gap","trans.c","2248","FuncCOMPONENT_REPS_TRANS"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1722","mor_s_e"
"libraries","default","silk","SKP_Silk_CNG.c","105","SKP_Silk_CNG"
"spec2000","v1.3","186.crafty","init.c","709","SetChessBitBoards"
"mediabench","default","mpeg4dec","h263.c","826","get_b_cbp"
"libraries","default","daala","rate.c","217","od_blog64"
"mediabench","default","cjpeg","jquant2.c","766","find_nearby_colors"
"netlib","default","linpack","newlinpack.c","865","idamax"
"mediabench","default","mpeg4dec","ac3enc.c","94","k_window_init"
"mediabench","default","mpeg2enc","predict.c","453","pred_comp"
"libraries","default","twolame","psycho_4.c","101","psycho_4_trigtable_init"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","63","setuppc"
"GitApps","default","gap","permutat.c","2130","PowPerm22"
"libraries","default","daala","dering.c","112","od_dir_find8"
"mediabench","default","h264enc-lencod","mv-search.c","283","SetupLargerBlocks"
"spec2006","v1.1","482.sphinx3","cmn_prior.c","95","cmn_prior"
"spec2006","v1.1","435.gromacs","tgroup.c","263","sum_v"
"spec2006","v1.1","401.bzip2","blocksort.c","976","mainSort"
"mediabench","default","mpeg4dec","mpegaudio.c","301","idct32"
"mediabench","default","mpeg2enc","stats.c","84","calcSNR1"
"NPB","2.3-OpenACC-C","UA-SNU","utils.c","69","nr_init"
"mediabench","default","mpeg4enc","mpegaudio.c","171","MPA_encode_init"
"spec2000","v1.3","300.twolf","findfeeds.c","66","findfeeds"
"ALPBench","v1.0","MPGdec","recon.c","834","form_component_prediction"
"libraries","default","libsndfile","xi.c","355","xi_read_header"
"mediabench","default","mpeg4dec","mjpeg.c","236","build_huffman_codes"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1661","edgecopy_s"
"polybench","4.1","linear-algebra-blas-gemm","gemm.c","37","init_array"
"libraries","default","lame","lame.c","2524","lame_stereo_mode_hist"
"netlib","default","cg","cg_rc_prb.c","264","test01"
"netlib","default","whetstone","whetstone.c","167","main"
"Kernels","SERIAL","Nstream","nstream.c","263","checkTRIADresults"
"spec2000","v1.3","300.twolf","config1.c","137","config1"
"Kernels","SERIAL","Branch","func.c","4054","func2"
"mediabench","default","h264dec-lencod","slice.c","675","init_slice"
"spec2006","v1.1","464.h264ref","block.c","921","dct_luma"
"GitApps","default","gap","trans.c","2398","FuncCOMPONENTS_TRANS"
"spec2000","v1.3","254.gap","permutat.c","912","PowPI"
"spec2000","v1.3","255.vortex","tree0.c","535","Tree_Redistribute"
"spec2006","v1.1","470.lbm","lbm.c","459","LBM_showGridStatistics"
"NPB","2.3-OpenACC-C","SP","sp.c","635","initialize"
"libraries","default","flac","window.c","231","FLAC_window_partial_tukey"
"libraries","default","libsndfile","paf.c","643","paf24_write_block"
"mediabench","default","h264enc-lencod","rdopt.c","1401","SetModesAndRefframeForBlocks"
"Kernels","SERIAL","Branch","func.c","4866","func22"
"libraries","default","libsndfile","sds.c","993","sds_write_d"
"ALPBench","v1.0","MPGenc","mpeg2enc.c","168","init"
"livermore","default","livermore","lloops.c","1104","kernels"
"spec2000","v1.3","301.apsi","apsi.c","4004","dftdx"
"mediabench","default","h263dec","recon.c","586","rec4c"
"libraries","default","libpng","pngtrans.c","304","png_do_invert"
"Kernels","SERIAL","Branch","func.c","9738","func25"
"cortexsuite","default","clustering-spectral","eigen.c","59","housev"
"mediabench","default","jpg2000dec","jas_seq.c","136","jas_matrix_create"
"GitApps","default","gap","vecgf2.c","4102","AddShiftedVecGF2VecGF2"
"mediabench","default","h264enc-lencod","image.c","1167","init_frame"
"spec2006","v1.1","445.gobmk","surround.c","298","compute_surroundings"
"spec2006","v1.1","433.milc","quark_stuff.c","935","eo_fermion_force"
"NPB","2.3-OpenACC-C","MG","mg.c","901","comm3"
"spec2000","v1.3","197.parser","post-process.c","795","is_connected_without"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","482","transfb"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuCommonMatrix.c","260","matrixRREF"
"livermore","default","livermore","lloops.c","1366","kernels"
"spec2006","v1.1","433.milc","gauge_stuff.c","134","char_num"
"spec2000","v1.3","175.vpr","read_arch.c","1199","check_arch"
"mediabench","default","mpeg4enc","ac3enc.c","1336","lshift_tab"
"libraries","default","twolame","psycho_3.c","483","psycho_3_init"
"libraries","default","libpng","pngrtran.c","4250","png_do_expand_palette"
"spec2006","v1.1","464.h264ref","macroblock.c","1347","LumaResidualCoding8x8"
"libraries","default","libsndfile","sds.c","570","sds_read_s"
"NPB","2.3-OpenACC-C","UA-SNU","transfer.c","554","transfb_cor_f"
"machinelearning","default","darknet","convolutional_layer.c","408","scale_bias"
"libraries","default","libpng","pngtrans.c","329","png_do_swap"
"NPB","2.3-OpenACC-C","SP","sp.c","1277","compute_rhs"
"ALPBench","v1.0","MPGenc","predict.c","648","clearblock"
"mediabench","default","h264enc-lencod","rdopt.c","3530","assign_enc_picture_params"
"FreeBench","default","fourinarow","fourinarow.c","205","board_full"
"TSVC","default","default","tsc.c","2414","s2251"
"spec2000","v1.3","183.equake","quake.c","1198","smvp"
"spec2000","v1.3","301.apsi","apsi.c","5428","leapfr"
"NPB","2.3-OpenACC-C","UA-SNU","convect.c","87","convect"
"spec2000","v1.3","254.gap","integer.c","1027","ModInt"
"GitApps","default","gap","system.c","903","SyMsgsBags"
"NPB","2.3-OpenACC-C","LU","lu.c","1916","l2norm"
"mediabench","default","mpeg4dec","ac3enc.c","552","exponent_min"
"mediabench","default","gsm","lpc.c","143","Autocorrelation"
"libraries","default","flac","metadata_iterators.c","1989","pack_uint32_little_endian"
"spec2000","v1.3","300.twolf","readseg.c","74","readseg"
"netlib","default","chebyshev","chebyshev.c","87","chebyshev_coefficients"
"GitApps","default","mozjpeg","jcdctmgr.c","752","forward_DCT"
"libraries","default","twolame","psycho_3.c","176","psycho_3_tonal_label"
"mediabench","default","mpeg2enc","motion.c","1633","variance"
"spec2000","v1.3","254.gap","permutat.c","2469","FunPermList"
"spec2000","v1.3","255.vortex","draw7.c","388","Draw7"
"mediabench","default","h264dec-lencod","rdopt.c","1615","SetCoeffAndReconstruction8x8"
"mediabench","default","mpeg4enc","h263.c","1818","init_mv_penalty_and_fcode"
"FreeBench","default","pifft","pifft.c","540","mp_unexp_sub"
"libraries","default","daala","generic_decoder.c","84","od_decode_cdf_adapt"
"mediabench","default","mpeg4enc","mpegaudiodec.c","248","int_pow_init"
"libraries","default","flac","lpc.c","1093","FLAC_lpc_restore_signal_wide"
"Kernels","SERIAL","Branch","func.c","9742","func25"
"libraries","default","libsndfile","paf.c","504","paf24_read_block"
"mediabench","default","h264enc-lencod","mv-search.c","304","SetupLargerBlocks"
"Kernels","SERIAL","Branch","func.c","6494","func23"
"TSVC","default","default","tsc.c","3509","s313"
"spec2000","v1.3","171.swim","swim.c","530","calc2"
"NPB","2.3-OpenACC-C","SP","sp.c","2449","x_solve"
"spec2006","v1.1","464.h264ref","vlc.c","256","se_linfo"
"NPB","2.3-OpenACC-C","FT","ft.c","422","compute_indexmap"
"ALPBench","v1.0","MPGdec","recon.c","522","form_component_prediction"
"spec2006","v1.1","482.sphinx3","kb.c","191","kb_init"
"libraries","default","libdeep","backprop_neuron.c","150","bp_neuron_compare"
"spec2000","v1.3","300.twolf","config1.c","121","config1"
"spec2000","v1.3","255.vortex","draw7.c","375","Draw7"
"GitApps","default","gap","vec8bit.c","4590","ProdCoeffsVec8Bit"
"ASC-llnl","v1.0","crystalMk","Crystal_Cholesky.c","52","Crystal_Cholesky"
"spec2006","v1.1","445.gobmk","hash.c","287","hashdata_invert_stone"
"NPB","2.3-OpenACC-C","UA-SNU","diffuse.c","88","diffusion"
"cortexsuite","default","srr","SRREngine.c","47","MatAdd"
"GitApps","default","gap","vec8bit.c","2137","DistanceVec8Bits"
"spec2006","v1.1","456.hmmer","trace.c","709","CreateFancyAli"
"polybench","4.1","linear-algebra-kernels-atax","atax.c","34","init_array"
"mediabench","default","h264enc-lencod","rdopt.c","3601","assign_enc_picture_params"
"spec2006","v1.1","464.h264ref","refbuf.c","62","UMVLine16Y_11"
"spec2000","v1.3","197.parser","idiom.c","161","generate_id_connector"
"GitApps","default","gap","permutat.c","3002","FuncCycleStructurePerm"
"netlib","default","jacobi","jacobi_eigenvalue.c","102","jacobi_eigenvalue"
"Kernels","SERIAL","Branch","func.c","23546","func14"
"spec2000","v1.3","301.apsi","apsi.c","10121","radfg"
"Kernels","SERIAL","Branch","func.c","26790","func16"
"TSVC","default","default","tsc.c","4856","s4113"
"libraries","default","twolame","psycho_1.c","125","psycho_1_init_add_db"
"spec2006","v1.1","482.sphinx3","vithist.c","592","vithist_partialutt_end"
"spec2006","v1.1","458.sjeng","moves.c","244","check_legal"
"spec2006","v1.1","482.sphinx3","cmn_prior.c","105","cmn_prior"
"libraries","default","daala","dct.c","8744","dynamic_range"
"spec2006","v1.1","458.sjeng","moves.c","1113","f_in_check"
"mediabench","default","h264dec-ldecod","block.c","689","intrapred_chroma"
"spec2000","v1.3","300.twolf","utils.c","53","initProgram"
"cortexsuite","default","clustering-kmeans","kmeans.c","87","k_means"
"libraries","default","libpng","pngrtran.c","4069","png_do_gamma"
"ASC-llnl","v1.0","IRSmk","utility.c","157","init"
"spec2006","v1.1","401.bzip2","huffman.c","201","BZ2_hbAssignCodes"
"ALPBench","v1.0","MPGdec","recon.c","779","form_component_prediction"
"NPB","2.3-OpenACC-C","SP","sp.c","260","rhs_norm"
"libraries","default","daala","dering.c","87","od_dir_find8"
"libraries","default","twolame","psycho_4.c","274","psycho_4_init"
"mediabench","default","rasta","lpccep.c","67","lpccep"
"GitApps","default","gap","permutat.c","618","ProdPerm22"
"libraries","default","libpng","pngwutil.c","224","png_image_size"
"spec2000","v1.3","255.vortex","tree0.c","435","Tree_Redistribute"
"Kernels","SERIAL","Amr","amr.c","214","main"
"libraries","default","silk","SKP_Silk_noise_shape_analysis_FIX.c","75","limit_warped_coefs"
"spec2000","v1.3","171.swim","swim.c","335","inital"
"polybench","4.1","linear-algebra-kernels-bicg","bicg.c","85","kernel_bicg"
"spec2000","v1.3","186.crafty","init.c","1148","InitializePawnMasks"
"spec2000","v1.3","301.apsi","apsi.c","4079","dftdy"
"mediabench","default","mpeg4dec","imgconvert.c","1108","img_apply_table"
"spec2000","v1.3","253.perlbmk","regexec.c","176","regcppop"
"NPB","2.3-OpenACC-C","BT","bt.c","2846","y_backsubstitute"
"libraries","default","lame","gain_analysis.c","465","analyzeResult"
"NPB","2.3-OpenACC-C","BT","bt.c","2110","compute_rhs"
"cortexsuite","default","rbm","twister.c","60","init_genrand"
"spec2000","v1.3","254.gap","integer.c","2030","GcdInt"
"spec2006","v1.1","435.gromacs","mdatom.c","208","init_mdatoms"
"libraries","default","silk","SKP_Silk_NLSF_MSVQ_encode_FIX.c","206","SKP_Silk_NLSF_MSVQ_encode_FIX"
"NPB","2.3-OpenACC-C","LU","lu.c","743","erhs"
"libraries","default","daala","state.c","1069","od_img_plane_edge_ext"
"cortexsuite","default","clustering-kmeans","kmeans.c","91","k_means"
"mediabench","default","h264dec-lencod","context_ini.c","116","create_context_memory"
"spec2006","v1.1","464.h264ref","lencod.c","809","init_img"
"mediabench","default","mpeg4enc","rangecoder.c","113","ff_build_rac_states"
"spec2000","v1.3","255.vortex","mem00.c","454","Mem_NewChunkChunk"
"netlib","default","cg","cg_rc_prb.c","127","test01"
"spec2006","v1.1","458.sjeng","moves.c","862","f_in_check"
"spec2006","v1.1","464.h264ref","macroblock.c","3541","writeCBPandLumaCoeff"
"mediabench","default","mpeg2enc","mpeg2enc.c","507","readquantmat"
"libraries","default","daala","dct.c","8544","check_bias"
"mediabench","default","rasta","noise_est.c","299","comp_noisepower"
"mediabench","default","mpeg4enc","imgconvert.c","1188","shrink12"
"mediabench","default","h264dec-lencod","block.c","1043","dct_luma"
"Kernels","SERIAL","Branch","func.c","21922","func13"
"netlib","default","jacobi","jacobi_eigenvalue.c","117","jacobi_eigenvalue"
"spec2006","v1.1","400.perlbench","pp_pack.c","1147","S_unpack_rec"
"spec2006","v1.1","482.sphinx3","mdef.c","706","mdef_init"
"spec2006","v1.1","435.gromacs","ns.c","1674","search_neighbours"
"spec2000","v1.3","254.gap","finfield.c","553","RootFiniteField"
"polybench","4.1","linear-algebra-kernels-bicg","bicg.c","33","init_array"
"netlib","default","cg","cg_rc_prb.c","421","test02"
"spec2000","v1.3","186.crafty","init.c","213","InitializeAttackBoards"
"GitApps","default","mozjpeg","jcmaster.c","182","validate_script"
"mediabench","default","h264enc-ldecod","macroblock.c","942","read_one_macroblock"
"spec2006","v1.1","400.perlbench","doio.c","494","Perl_do_openn"
"cortexsuite","default","liblinear","linear.c","2386","group_classes"
"mediabench","default","mpeg4dec","mjpeg.c","987","find_frame_end"
"mediabench","default","mpeg4dec","dsputil.c","3793","dsputil_static_init"
"GitApps","default","mozjpeg","jchuff.c","901","jpeg_gen_optimal_table"
"spec2000","v1.3","253.perlbmk","regcomp.c","1961","regclass"
"spec2006","v1.1","464.h264ref","mv-search.c","266","SetupLargerBlocks"
"mediabench","default","h264dec-lencod","mv-search.c","2937","BlockMotionSearch"
"ALPBench","v1.0","csuFaceIdEval_5.1","csuBayesianTrain.c","362","makeDifferenceImages"
"mediabench","default","h264dec-lencod","rdopt.c","1430","SetModesAndRefframeForBlocks"
"ALPBench","v1.0","MPGenc","readpic.c","326","border_extend"
"mediabench","default","mpeg4enc","ac3enc.c","191","ac3_parametric_bit_allocation"
"livermore","default","livermore","lloops.c","629","main"
"mediabench","default","adpcm","adpcm.c","202","adpcm_decoder"
"mediabench","default","gsm","short_term.c","156","LARp_to_rp"
"spec2006","v1.1","433.milc","gauge_stuff.c","137","char_num"
"livermore","default","livermore","lloops.c","1444","kernels"
"cortexsuite","default","sphinx","ngram_search_fwdtree.c","188","create_search_tree"
"FreeBench","default","fourinarow","fourinarow.c","247","find_winner_p"
"polybench","4.1","linear-algebra-blas-gesummv","gesummv.c","83","kernel_gesummv"
"mediabench","default","mpeg2enc","mpeg2enc.c","535","readquantmat"
"mediabench","default","h264dec-lencod","rdopt.c","3549","assign_enc_picture_params"
"GitApps","default","gap","scanner.c","2562","PutChrTo"
"spec2006","v1.1","400.perlbench","regcomp.c","3860","S_regclass"
"NPB","2.3-OpenACC-C","BT","bt.c","814","initialize"
"spec2006","v1.1","445.gobmk","value_moves.c","2681","record_top_move"
